theta,rp_Co_re,rp_Co_im,rp_Ni_re,rp_Ni_im,rs_Co_re,rs_Co_im,rs_Ni_re,rs_Ni_im,rp_Co^2_re,rp_Co^2_im,rp_Ni^2_re,rp_Ni^2_im,rs_Co^2_re,rs_Co^2_im,rs_Ni^2_re,rs_Ni^2_im,rp_Ni^2 - rs_Ni^2_re,rp_Ni^2 - rs_Ni^2_im,rp_Ni^2 + rs_Ni^2_re,rp_Ni^2 + rs_Ni^2_im,rp_Co^2 - rs_Co^2_re,rp_Co^2 - rs_Co^2_im,rp_Co^2 + rs_Co^2_re,rp_Co^2 + rs_Co^2_im
32,0.720900945885,0.339661980098,0.72000998355,0.359310593337,-0.807887283806,-0.264627214217,-0.809204398727,-0.279568085478,0.404327913054,0.489725285468,0.389310273927,0.517414428796,0.582654300832,0.42757792263,0.576653444501,0.452455449025,-0.187343170574,0.0649589797707,0.965963718428,0.969869877821,-0.178326387778,0.0621473628378,0.986982213886,0.917303208098
33,0.717439215858,0.342351386686,0.716446525443,0.362162997683,-0.810296580572,-0.262274348647,-0.811658733405,-0.277068195601,0.397514556485,0.491232620823,0.382133586929,0.518940842668,0.587792714529,0.425040015761,0.582023114499,0.449769641416,-0.19988952757,0.0691712012523,0.964156701428,0.968710484085,-0.190278158045,0.0661926050623,0.985307271014,0.916272636584
34,0.713804526404,0.345154376344,0.712704245048,0.365135192002,-0.812766292568,-0.259843859164,-0.814173436085,-0.27448606306,0.390385358405,0.492745512285,0.374623632472,0.520466802712,0.593070215189,0.422384660119,0.587535785213,0.446958522238,-0.212912152741,0.0735082804742,0.962159417685,0.967425324951,-0.202684856784,0.0703608521666,0.983455573594,0.915130172404
35,0.709988928491,0.348074096176,0.708774855512,0.368230416718,-0.815295196034,-0.257335407187,-0.816747162574,-0.271821353314,0.382928702151,0.494257509159,0.36676815601,0.521984920809,0.598484744884,0.419608642498,0.593189079455,0.444018638092,-0.226420923444,0.077966282717,0.959957235465,0.9660035589,-0.215556042732,0.0746488666609,0.981413447035,0.913866151658
36,0.705983879698,0.351113832957,0.704649450053,0.371452049976,-0.817882035014,-0.254748663386,-0.819378534386,-0.269073742874,0.375132314699,0.495761412013,0.358554222029,0.523486965473,0.604034141702,0.416708710455,0.598980503508,0.440946498156,-0.240426281479,0.0825404673171,0.957534725536,0.964433463629,-0.228901827003,0.079052701558,0.979166456401,0.912470122469
37,0.701780194858,0.354277014856,0.700318450411,0.374803608216,-0.820525521896,-0.25208330918,-0.822066139429,-0.266242920913,0.36698323864,0.497249185038,0.349968187254,0.524963764228,0.609716137316,0.413681577652,0.604907444659,0.43773858029,-0.254939257405,0.0872251839376,0.954875631913,0.962702344518,-0.242732898676,0.0835676073861,0.976699375956,0.91093076269
38,0.697367991658,0.357567212442,0.695771550045,0.378288745827,-0.823224337985,-0.249339038243,-0.824808532717,-0.263328590875,0.358467804376,0.498711857647,0.340995674633,0.526405094098,0.615528354659,0.410523929383,0.610967168871,0.434391337324,-0.269971494238,0.0920137567742,0.951962843504,0.960796431422,-0.257060550283,0.0881879282639,0.973996159035,0.90923578703
39,0.692736630591,0.360988138794,0.690997651478,0.381911253658,-0.825977134117,-0.24651555803,-0.827604237131,-0.260330472103,0.349571603013,0.500139413903,0.331621548678,0.527799558701,0.621468305733,0.407232428274,0.617156818611,0.430901203533,-0.285535269933,0.0968983551682,0.94877836729,0.958700762235,-0.271896702721,0.0929069856292,0.971039908746,0.907371842177
40,0.687874648624,0.364543648453,0.685984797111,0.385675056076,-0.828782531305,-0.243612591302,-0.83045174421,-0.257248301468,0.340279460592,0.501520668175,0.321829892988,0.529134450186,0.627533389555,0.403803720153,0.623473410853,0.427264601299,-0.301643517865,0.101869848887,0.94530330384,0.956399051485,-0.287253928963,0.0977169480215,0.967812850147,0.905324388328
41,0.682769685829,0.368237734937,0.68072009275,0.389584206259,-0.83163912142,-0.240629877662,-0.833349514993,-0.254081835004,0.330575414456,0.502843125187,0.311603990908,0.530395594038,0.633720890252,0.400234440093,0.62991383526,0.423477947938,-0.318309844352,0.1069176461,0.941517826168,0.953873541976,-0.303145475796,0.102608685094,0.964296304708,0.90307756528
